run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20250722-17:22:16-44165,runattr,,,configname,General,,
General-0-20250722-17:22:16-44165,runattr,,,datetime,20250722-17:22:16,,
General-0-20250722-17:22:16-44165,runattr,,,datetimef,20250722-172216,,
General-0-20250722-17:22:16-44165,runattr,,,experiment,General,,
General-0-20250722-17:22:16-44165,runattr,,,inifile,/home/howhang/omnetpp-6.1.0-linux-x86_64/omnetpp-6.1/samples/FRER/simulations/omnetpp.ini,,
General-0-20250722-17:22:16-44165,runattr,,,iterationvars,,,
General-0-20250722-17:22:16-44165,runattr,,,iterationvarsd,,,
General-0-20250722-17:22:16-44165,runattr,,,iterationvarsf,,,
General-0-20250722-17:22:16-44165,runattr,,,measurement,,,
General-0-20250722-17:22:16-44165,runattr,,,network,FRERnetwork,,
General-0-20250722-17:22:16-44165,runattr,,,processid,44165,,
General-0-20250722-17:22:16-44165,runattr,,,repetition,0,,
General-0-20250722-17:22:16-44165,runattr,,,replication,#0,,
General-0-20250722-17:22:16-44165,runattr,,,resultdir,results,,
General-0-20250722-17:22:16-44165,runattr,,,runnumber,0,,
General-0-20250722-17:22:16-44165,runattr,,,seedset,0,,
General-0-20250722-17:22:16-44165,config,,,image-path,/home/howhang/omnetpp-6.1.0-linux-x86_64/omnetpp-6.1/samples/inet4.5/images,,
General-0-20250722-17:22:16-44165,config,,,network,FRERnetwork,,
General-0-20250722-17:22:16-44165,config,,,sim-time-limit,100ms,,
General-0-20250722-17:22:16-44165,config,,,description,Manual static stream redundancy configuration,,
General-0-20250722-17:22:16-44165,config,,,*.macForwardingTableConfigurator.typename,,,
General-0-20250722-17:22:16-44165,config,,,*.*.eth[*].bitrate,1000Mbps,,
General-0-20250722-17:22:16-44165,config,,,*.scenarioManager.script,"xmldoc(""scenario.xml"")",,
General-0-20250722-17:22:16-44165,config,,,*.*.hasStreamRedundancy,true,,
General-0-20250722-17:22:16-44165,config,,,*.source.numApps,1,,
General-0-20250722-17:22:16-44165,config,,,*.source.app[0].typename,UdpSourceApp,,
General-0-20250722-17:22:16-44165,config,,,*.source.app[0].io.destAddress,"""destination""",,
General-0-20250722-17:22:16-44165,config,,,*.source.app[0].io.destPort,1000,,
General-0-20250722-17:22:16-44165,config,,,*.source.app[0].source.displayStringTextFormat,"""sent %p pk (%l)""",,
General-0-20250722-17:22:16-44165,config,,,*.source.app[0].source.packetLength,1200B,,
General-0-20250722-17:22:16-44165,config,,,*.source.app[0].source.productionInterval,1ms,,
General-0-20250722-17:22:16-44165,config,,,*.destination.numApps,1,,
General-0-20250722-17:22:16-44165,config,,,*.destination.app[0].typename,UdpSinkApp,,
General-0-20250722-17:22:16-44165,config,,,*.destination.app[0].io.localPort,1000,,
General-0-20250722-17:22:16-44165,config,,,*.destination.eth[*].address,"""0A-AA-12-34-56-78""",,
General-0-20250722-17:22:16-44165,config,,,*.visualizer.infoVisualizer.modules,"""*.source.app[0].source or *.destination.app[0].sink""",,
General-0-20250722-17:22:16-44165,config,,,*.source.bridging.streamIdentifier.identifier.mapping,"[{packetFilter: ""*"", stream: ""s1"", sequenceNumbering: true}]",,
General-0-20250722-17:22:16-44165,config,,,*.source.bridging.streamCoder.encoder.mapping,"[{stream: ""s1"", vlan: 1}]",,
General-0-20250722-17:22:16-44165,config,,,*.s1.macTable.forwardingTable,"[{address: ""destination"", vlan: 1, interface: ""eth1""},
                                 {address: ""destination"", vlan: 2, interface: ""eth2""}]",,
General-0-20250722-17:22:16-44165,config,,,*.s1.ieee8021q.qTagHeaderChecker.vlanIdFilter,[1],,
General-0-20250722-17:22:16-44165,config,,,*.s1.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20250722-17:22:16-44165,config,,,*.s1.bridging.streamCoder.typename,StreamCoderLayer,,
General-0-20250722-17:22:16-44165,config,,,*.s1.bridging.streamCoder.decoder.mapping,"[{interface: ""eth0"", vlan: 1, stream: ""s1""}]",,
General-0-20250722-17:22:16-44165,config,,,*.s1.bridging.streamRelay.splitter.mapping,"{s1: [""s1a"", ""s1b""]}",,
General-0-20250722-17:22:16-44165,config,,,*.s1.bridging.streamCoder.encoder.mapping,"[{stream: ""s1a"", vlan: 1},
                                             {stream: ""s1b"", vlan: 2}]",,
General-0-20250722-17:22:16-44165,config,,,*.s2.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20250722-17:22:16-44165,config,,,*.s2.bridging.streamRelay.merger.typename,StreamMergerSorter,,
General-0-20250722-17:22:16-44165,config,,,*.s2.bridging.streamRelay.merger.seqNum.record,vector,,
General-0-20250722-17:22:16-44165,config,,,*.s2.bridging.streamRelay.merger.enableReordering,false,,
General-0-20250722-17:22:16-44165,config,,,*.s2.bridging.streamRelay.merger.dynamicBuffersize,false,,
General-0-20250722-17:22:16-44165,config,,,*.s2.bridging.streamRelay.merger.periodicEmission,false,,
General-0-20250722-17:22:16-44165,config,,,*.s2.bridging.streamRelay.merger.bufferSize,5,,
General-0-20250722-17:22:16-44165,config,,,*.s2.bridging.streamRelay.merger.timerInterval,10ms,,
General-0-20250722-17:22:16-44165,config,,,*.s2.bridging.streamRelay.merger.senderTransmissionInterval,1ms,,
General-0-20250722-17:22:16-44165,config,,,*.s2.bridging.streamRelay.merger.jitter,10ms,,
General-0-20250722-17:22:16-44165,config,,,*.s2.bridging.streamRelay.merger.startSequence,0,,
General-0-20250722-17:22:16-44165,config,,,*.s2.bridging.streamCoder.decoder.mapping,"[{interface: ""eth1"", vlan: 1, stream: ""s1a""},
                                              {interface: ""eth2"", vlan: 2, stream: ""s1b""}]",,
General-0-20250722-17:22:16-44165,config,,,*.s2.macTable.forwardingTable,"[{address: ""destination"", vlan: 1, interface: ""eth0""},
                                 {address: ""destination"", vlan: 2, interface: ""eth0""}]",,
General-0-20250722-17:22:16-44165,config,,,*.s2.ieee8021q.qTagHeaderChecker.vlanIdFilter,"[1, 2]",,
General-0-20250722-17:22:16-44165,config,,,*.s2.bridging.streamRelay.merger.mapping,"{s1a: """", s1b: """"}",,
