run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20250730-16:51:08-89923,runattr,,,configname,General,,
General-0-20250730-16:51:08-89923,runattr,,,datetime,20250730-16:51:08,,
General-0-20250730-16:51:08-89923,runattr,,,datetimef,20250730-165108,,
General-0-20250730-16:51:08-89923,runattr,,,experiment,General,,
General-0-20250730-16:51:08-89923,runattr,,,inifile,/home/howhang/omnetpp-6.1.0-linux-x86_64/omnetpp-6.1/samples/FRER/simulations/omnetpp.ini,,
General-0-20250730-16:51:08-89923,runattr,,,iterationvars,,,
General-0-20250730-16:51:08-89923,runattr,,,iterationvarsd,,,
General-0-20250730-16:51:08-89923,runattr,,,iterationvarsf,,,
General-0-20250730-16:51:08-89923,runattr,,,measurement,,,
General-0-20250730-16:51:08-89923,runattr,,,network,FRERnetwork,,
General-0-20250730-16:51:08-89923,runattr,,,processid,89923,,
General-0-20250730-16:51:08-89923,runattr,,,repetition,0,,
General-0-20250730-16:51:08-89923,runattr,,,replication,#0,,
General-0-20250730-16:51:08-89923,runattr,,,resultdir,results,,
General-0-20250730-16:51:08-89923,runattr,,,runnumber,0,,
General-0-20250730-16:51:08-89923,runattr,,,seedset,0,,
General-0-20250730-16:51:08-89923,config,,,image-path,/home/howhang/omnetpp-6.1.0-linux-x86_64/omnetpp-6.1/samples/inet4.5/images,,
General-0-20250730-16:51:08-89923,config,,,network,FRERnetwork,,
General-0-20250730-16:51:08-89923,config,,,sim-time-limit,100ms,,
General-0-20250730-16:51:08-89923,config,,,description,Manual static stream redundancy configuration,,
General-0-20250730-16:51:08-89923,config,,,*.macForwardingTableConfigurator.typename,,,
General-0-20250730-16:51:08-89923,config,,,*.*.eth[*].bitrate,1000Mbps,,
General-0-20250730-16:51:08-89923,config,,,*.scenarioManager.script,"xmldoc(""scenario.xml"")",,
General-0-20250730-16:51:08-89923,config,,,*.*.hasStreamRedundancy,true,,
General-0-20250730-16:51:08-89923,config,,,*.source.numApps,1,,
General-0-20250730-16:51:08-89923,config,,,*.source.app[0].typename,UdpSourceApp,,
General-0-20250730-16:51:08-89923,config,,,*.source.app[0].io.destAddress,"""destination""",,
General-0-20250730-16:51:08-89923,config,,,*.source.app[0].io.destPort,1000,,
General-0-20250730-16:51:08-89923,config,,,*.source.app[0].source.displayStringTextFormat,"""sent %p pk (%l)""",,
General-0-20250730-16:51:08-89923,config,,,*.source.app[0].source.packetLength,1200B,,
General-0-20250730-16:51:08-89923,config,,,*.source.app[0].source.productionInterval,1ms,,
General-0-20250730-16:51:08-89923,config,,,*.destination.numApps,1,,
General-0-20250730-16:51:08-89923,config,,,*.destination.app[0].typename,UdpSinkApp,,
General-0-20250730-16:51:08-89923,config,,,*.destination.app[0].io.localPort,1000,,
General-0-20250730-16:51:08-89923,config,,,*.destination.eth[*].address,"""0A-AA-12-34-56-78""",,
General-0-20250730-16:51:08-89923,config,,,*.visualizer.infoVisualizer.modules,"""*.source.app[0].source or *.destination.app[0].sink""",,
General-0-20250730-16:51:08-89923,config,,,*.source.bridging.streamIdentifier.identifier.mapping,"[{packetFilter: ""*"", stream: ""s1"", sequenceNumbering: true}]",,
General-0-20250730-16:51:08-89923,config,,,*.source.bridging.streamCoder.encoder.mapping,"[{stream: ""s1"", vlan: 1}]",,
General-0-20250730-16:51:08-89923,config,,,*.s1.macTable.forwardingTable,"[{address: ""destination"", vlan: 1, interface: ""eth1""},
                                 {address: ""destination"", vlan: 2, interface: ""eth2""}]",,
General-0-20250730-16:51:08-89923,config,,,*.s1.ieee8021q.qTagHeaderChecker.vlanIdFilter,[1],,
General-0-20250730-16:51:08-89923,config,,,*.s1.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20250730-16:51:08-89923,config,,,*.s1.bridging.streamCoder.typename,StreamCoderLayer,,
General-0-20250730-16:51:08-89923,config,,,*.s1.bridging.streamCoder.decoder.mapping,"[{interface: ""eth0"", vlan: 1, stream: ""s1""}]",,
General-0-20250730-16:51:08-89923,config,,,*.s1.bridging.streamRelay.splitter.mapping,"{s1: [""s1a"", ""s1b""]}",,
General-0-20250730-16:51:08-89923,config,,,*.s1.bridging.streamCoder.encoder.mapping,"[{stream: ""s1a"", vlan: 1},
                                             {stream: ""s1b"", vlan: 2}]",,
General-0-20250730-16:51:08-89923,config,,,*.s2.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20250730-16:51:08-89923,config,,,*.s2.bridging.streamRelay.merger.typename,StreamMergerSorter,,
General-0-20250730-16:51:08-89923,config,,,*.s2.bridging.streamRelay.merger.seqNum.record,vector,,
General-0-20250730-16:51:08-89923,config,,,*.s2.bridging.streamRelay.merger.enableReordering,false,,
General-0-20250730-16:51:08-89923,config,,,*.s2.bridging.streamRelay.merger.dynamicBuffersize,true,,
General-0-20250730-16:51:08-89923,config,,,*.s2.bridging.streamRelay.merger.periodicEmission,false,,
General-0-20250730-16:51:08-89923,config,,,*.s2.bridging.streamRelay.merger.bufferSize,5,,
General-0-20250730-16:51:08-89923,config,,,*.s2.bridging.streamRelay.merger.timerInterval,10ms,,
General-0-20250730-16:51:08-89923,config,,,*.s2.bridging.streamRelay.merger.senderTransmissionInterval,1ms,,
General-0-20250730-16:51:08-89923,config,,,*.s2.bridging.streamRelay.merger.jitter,0ms,,
General-0-20250730-16:51:08-89923,config,,,*.s2.bridging.streamRelay.merger.startSequence,0,,
General-0-20250730-16:51:08-89923,config,,,*.s2.bridging.streamCoder.decoder.mapping,"[{interface: ""eth1"", vlan: 1, stream: ""s1a""},
                                              {interface: ""eth2"", vlan: 2, stream: ""s1b""}]",,
General-0-20250730-16:51:08-89923,config,,,*.s2.macTable.forwardingTable,"[{address: ""destination"", vlan: 1, interface: ""eth0""},
                                 {address: ""destination"", vlan: 2, interface: ""eth0""}]",,
General-0-20250730-16:51:08-89923,config,,,*.s2.ieee8021q.qTagHeaderChecker.vlanIdFilter,"[1, 2]",,
General-0-20250730-16:51:08-89923,config,,,*.s2.bridging.streamRelay.merger.mapping,"{s1a: """", s1b: """"}",,
General-0-20250730-16:51:08-89923,vector,FRERnetwork.s2.bridging.streamRelay.merger,seqNum:vector,,,"0.000020274 0.001020274 0.002020274 0.003020274 0.004020274 0.005020274 0.006020274 0.007020274 0.008020274 0.009020274 0.010020274 0.011020274 0.012020274 0.013020274 0.014020274 0.015020274 0.016020274 0.017020274 0.017020274 0.018020274 0.019020274 0.019020274 0.020020274 0.021020274 0.021020274 0.022020274 0.023020274 0.023020274 0.024020274 0.025020274 0.025020274 0.026020274 0.027020274 0.027020274 0.028020274 0.029020274 0.029020274 0.030020274 0.030020274 0.031020274 0.031020274 0.032020274 0.032020274 0.033020274 0.033020274 0.034020274 0.034020274 0.035020274 0.035020274 0.036020274 0.036020274 0.037020274 0.037020274 0.038020274 0.038020274 0.039020274 0.039020274 0.040020274 0.041020274 0.041020274 0.042020274 0.043020274 0.043020274 0.044020274 0.045020274 0.045020274 0.046020274 0.047020274 0.047020274 0.048020274 0.049020274 0.049020274 0.051020274 0.053020274 0.055020274 0.057020274 0.059020274 0.060020274 0.060020274 0.061020274 0.061020274 0.062020274 0.062020274 0.063020274 0.063020274 0.064020274 0.064020274 0.065020274 0.065020274 0.066020274 0.066020274 0.067020274 0.067020274 0.068020274 0.068020274 0.069020274 0.069020274 0.070020274 0.070020274 0.071020274 0.071020274 0.072020274 0.072020274 0.073020274 0.073020274 0.074020274 0.074020274 0.075020274 0.075020274 0.076020274 0.076020274 0.077020274 0.077020274 0.078020274 0.078020274 0.079020274 0.079020274 0.079020274 0.079020274 0.079020274 0.079020274 0.079020274 0.079020274 0.079020274 0.079020274 0.079020274 0.079020274 0.080020274 0.080020274 0.081020274 0.081020274 0.082020274 0.082020274 0.083020274 0.083020274 0.084020274 0.084020274 0.085020274 0.085020274 0.086020274 0.086020274 0.087020274 0.087020274 0.088020274 0.088020274 0.089020274 0.090020274 0.091020274 0.092020274 0.093020274 0.094020274 0.095020274 0.096020274 0.097020274 0.098020274 0.099020274","0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 13 17 18 14 19 20 15 21 22 16 23 24 17 25 26 18 27 28 19 29 20 30 21 31 22 32 23 33 24 34 25 35 26 36 27 37 28 38 29 39 40 30 41 42 31 43 44 32 45 46 33 47 48 34 49 35 36 37 38 39 40 60 41 61 42 62 43 63 44 64 45 65 46 66 47 67 48 68 49 69 50 70 51 71 52 72 53 73 54 74 55 75 56 76 57 77 58 78 59 60 61 62 63 64 65 66 67 68 69 79 70 80 71 81 72 82 73 83 74 84 75 85 76 86 77 87 78 88 89 90 91 92 93 94 95 96 97 98 99"
General-0-20250730-16:51:08-89923,attr,FRERnetwork.s2.bridging.streamRelay.merger,seqNum:vector,recordingmode,vector,,
