run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20250722-17:23:14-44553,runattr,,,configname,General,,
General-0-20250722-17:23:14-44553,runattr,,,datetime,20250722-17:23:14,,
General-0-20250722-17:23:14-44553,runattr,,,datetimef,20250722-172314,,
General-0-20250722-17:23:14-44553,runattr,,,experiment,General,,
General-0-20250722-17:23:14-44553,runattr,,,inifile,/home/howhang/omnetpp-6.1.0-linux-x86_64/omnetpp-6.1/samples/FRER/simulations/omnetpp.ini,,
General-0-20250722-17:23:14-44553,runattr,,,iterationvars,,,
General-0-20250722-17:23:14-44553,runattr,,,iterationvarsd,,,
General-0-20250722-17:23:14-44553,runattr,,,iterationvarsf,,,
General-0-20250722-17:23:14-44553,runattr,,,measurement,,,
General-0-20250722-17:23:14-44553,runattr,,,network,FRERnetwork,,
General-0-20250722-17:23:14-44553,runattr,,,processid,44553,,
General-0-20250722-17:23:14-44553,runattr,,,repetition,0,,
General-0-20250722-17:23:14-44553,runattr,,,replication,#0,,
General-0-20250722-17:23:14-44553,runattr,,,resultdir,results,,
General-0-20250722-17:23:14-44553,runattr,,,runnumber,0,,
General-0-20250722-17:23:14-44553,runattr,,,seedset,0,,
General-0-20250722-17:23:14-44553,config,,,image-path,/home/howhang/omnetpp-6.1.0-linux-x86_64/omnetpp-6.1/samples/inet4.5/images,,
General-0-20250722-17:23:14-44553,config,,,network,FRERnetwork,,
General-0-20250722-17:23:14-44553,config,,,sim-time-limit,100ms,,
General-0-20250722-17:23:14-44553,config,,,description,Manual static stream redundancy configuration,,
General-0-20250722-17:23:14-44553,config,,,*.macForwardingTableConfigurator.typename,,,
General-0-20250722-17:23:14-44553,config,,,*.*.eth[*].bitrate,1000Mbps,,
General-0-20250722-17:23:14-44553,config,,,*.scenarioManager.script,"xmldoc(""scenario.xml"")",,
General-0-20250722-17:23:14-44553,config,,,*.*.hasStreamRedundancy,true,,
General-0-20250722-17:23:14-44553,config,,,*.source.numApps,1,,
General-0-20250722-17:23:14-44553,config,,,*.source.app[0].typename,UdpSourceApp,,
General-0-20250722-17:23:14-44553,config,,,*.source.app[0].io.destAddress,"""destination""",,
General-0-20250722-17:23:14-44553,config,,,*.source.app[0].io.destPort,1000,,
General-0-20250722-17:23:14-44553,config,,,*.source.app[0].source.displayStringTextFormat,"""sent %p pk (%l)""",,
General-0-20250722-17:23:14-44553,config,,,*.source.app[0].source.packetLength,1200B,,
General-0-20250722-17:23:14-44553,config,,,*.source.app[0].source.productionInterval,1ms,,
General-0-20250722-17:23:14-44553,config,,,*.destination.numApps,1,,
General-0-20250722-17:23:14-44553,config,,,*.destination.app[0].typename,UdpSinkApp,,
General-0-20250722-17:23:14-44553,config,,,*.destination.app[0].io.localPort,1000,,
General-0-20250722-17:23:14-44553,config,,,*.destination.eth[*].address,"""0A-AA-12-34-56-78""",,
General-0-20250722-17:23:14-44553,config,,,*.visualizer.infoVisualizer.modules,"""*.source.app[0].source or *.destination.app[0].sink""",,
General-0-20250722-17:23:14-44553,config,,,*.source.bridging.streamIdentifier.identifier.mapping,"[{packetFilter: ""*"", stream: ""s1"", sequenceNumbering: true}]",,
General-0-20250722-17:23:14-44553,config,,,*.source.bridging.streamCoder.encoder.mapping,"[{stream: ""s1"", vlan: 1}]",,
General-0-20250722-17:23:14-44553,config,,,*.s1.macTable.forwardingTable,"[{address: ""destination"", vlan: 1, interface: ""eth1""},
                                 {address: ""destination"", vlan: 2, interface: ""eth2""}]",,
General-0-20250722-17:23:14-44553,config,,,*.s1.ieee8021q.qTagHeaderChecker.vlanIdFilter,[1],,
General-0-20250722-17:23:14-44553,config,,,*.s1.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20250722-17:23:14-44553,config,,,*.s1.bridging.streamCoder.typename,StreamCoderLayer,,
General-0-20250722-17:23:14-44553,config,,,*.s1.bridging.streamCoder.decoder.mapping,"[{interface: ""eth0"", vlan: 1, stream: ""s1""}]",,
General-0-20250722-17:23:14-44553,config,,,*.s1.bridging.streamRelay.splitter.mapping,"{s1: [""s1a"", ""s1b""]}",,
General-0-20250722-17:23:14-44553,config,,,*.s1.bridging.streamCoder.encoder.mapping,"[{stream: ""s1a"", vlan: 1},
                                             {stream: ""s1b"", vlan: 2}]",,
General-0-20250722-17:23:14-44553,config,,,*.s2.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20250722-17:23:14-44553,config,,,*.s2.bridging.streamRelay.merger.typename,StreamMergerSorter,,
General-0-20250722-17:23:14-44553,config,,,*.s2.bridging.streamRelay.merger.seqNum.record,vector,,
