run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20250722-17:23:02-44475,runattr,,,configname,General,,
General-0-20250722-17:23:02-44475,runattr,,,datetime,20250722-17:23:02,,
General-0-20250722-17:23:02-44475,runattr,,,datetimef,20250722-172302,,
General-0-20250722-17:23:02-44475,runattr,,,experiment,General,,
General-0-20250722-17:23:02-44475,runattr,,,inifile,/home/howhang/omnetpp-6.1.0-linux-x86_64/omnetpp-6.1/samples/FRER/simulations/omnetpp.ini,,
General-0-20250722-17:23:02-44475,runattr,,,iterationvars,,,
General-0-20250722-17:23:02-44475,runattr,,,iterationvarsd,,,
General-0-20250722-17:23:02-44475,runattr,,,iterationvarsf,,,
General-0-20250722-17:23:02-44475,runattr,,,measurement,,,
General-0-20250722-17:23:02-44475,runattr,,,network,FRERnetwork,,
General-0-20250722-17:23:02-44475,runattr,,,processid,44475,,
General-0-20250722-17:23:02-44475,runattr,,,repetition,0,,
General-0-20250722-17:23:02-44475,runattr,,,replication,#0,,
General-0-20250722-17:23:02-44475,runattr,,,resultdir,results,,
General-0-20250722-17:23:02-44475,runattr,,,runnumber,0,,
General-0-20250722-17:23:02-44475,runattr,,,seedset,0,,
General-0-20250722-17:23:02-44475,config,,,image-path,/home/howhang/omnetpp-6.1.0-linux-x86_64/omnetpp-6.1/samples/inet4.5/images,,
General-0-20250722-17:23:02-44475,config,,,network,FRERnetwork,,
General-0-20250722-17:23:02-44475,config,,,sim-time-limit,100ms,,
General-0-20250722-17:23:02-44475,config,,,description,Manual static stream redundancy configuration,,
General-0-20250722-17:23:02-44475,config,,,*.macForwardingTableConfigurator.typename,,,
General-0-20250722-17:23:02-44475,config,,,*.*.eth[*].bitrate,1000Mbps,,
General-0-20250722-17:23:02-44475,config,,,*.scenarioManager.script,"xmldoc(""scenario.xml"")",,
General-0-20250722-17:23:02-44475,config,,,*.*.hasStreamRedundancy,true,,
General-0-20250722-17:23:02-44475,config,,,*.source.numApps,1,,
General-0-20250722-17:23:02-44475,config,,,*.source.app[0].typename,UdpSourceApp,,
General-0-20250722-17:23:02-44475,config,,,*.source.app[0].io.destAddress,"""destination""",,
General-0-20250722-17:23:02-44475,config,,,*.source.app[0].io.destPort,1000,,
General-0-20250722-17:23:02-44475,config,,,*.source.app[0].source.displayStringTextFormat,"""sent %p pk (%l)""",,
General-0-20250722-17:23:02-44475,config,,,*.source.app[0].source.packetLength,1200B,,
General-0-20250722-17:23:02-44475,config,,,*.source.app[0].source.productionInterval,1ms,,
General-0-20250722-17:23:02-44475,config,,,*.destination.numApps,1,,
General-0-20250722-17:23:02-44475,config,,,*.destination.app[0].typename,UdpSinkApp,,
General-0-20250722-17:23:02-44475,config,,,*.destination.app[0].io.localPort,1000,,
General-0-20250722-17:23:02-44475,config,,,*.destination.eth[*].address,"""0A-AA-12-34-56-78""",,
General-0-20250722-17:23:02-44475,config,,,*.visualizer.infoVisualizer.modules,"""*.source.app[0].source or *.destination.app[0].sink""",,
General-0-20250722-17:23:02-44475,config,,,*.source.bridging.streamIdentifier.identifier.mapping,"[{packetFilter: ""*"", stream: ""s1"", sequenceNumbering: true}]",,
